Date,Match Info,Status/Result,Match Link
Unknown Date,LSG vs PBKS - PBKS opt to bowl,Upcoming / Status Unknown,https://www.cricbuzz.com/live-cricket-scores/152241/lsg-vs-pbks-68th-match-indian-premier-league-2026
Unknown Date,MI vs RR - Preview,Upcoming / Status Unknown,https://www.cricbuzz.com/live-cricket-scores/152252/mi-vs-rr-69th-match-indian-premier-league-2026
Unknown Date,SRH vs RCB - SRH won,Upcoming / Status Unknown,https://www.cricbuzz.com/live-cricket-scores/152240/srh-vs-rcb-67th-match-indian-premier-league-2026
Unknown Date,NZW vs ENGW - NZW opt to bat,Upcoming / Status Unknown,https://www.cricbuzz.com/live-cricket-scores/129409/nzw-vs-engw-2nd-t20i-new-zealand-women-tour-of-england-2026
Unknown Date,GLAM vs GLOUCS - Preview,Upcoming / Status Unknown,https://www.cricbuzz.com/live-cricket-scores/145860/glam-vs-gloucs-10th-match-t20-blast-2026
Unknown Date,Cameroon vs Rwanda 1st Match,Upcoming / Status Unknown,https://www.cricbuzz.com/live-cricket-scores/158082/cam-vs-rwa-1st-match-icc-mens-t20-world-cup-sub-regional-africa-qualifier-group-a-2026
Unknown Date,Botswana vs Sierra Leone 2nd Match,Upcoming / Status Unknown,https://www.cricbuzz.com/live-cricket-scores/158093/bw-vs-sle-2nd-match-icc-mens-t20-world-cup-sub-regional-africa-qualifier-group-a-2026
Unknown Date,Kenya vs Mali 3rd Match,Upcoming / Status Unknown,https://www.cricbuzz.com/live-cricket-scores/158104/ken-vs-mali-3rd-match-icc-mens-t20-world-cup-sub-regional-africa-qualifier-group-a-2026
Unknown Date,Ivory Coast vs Rwanda 4th Match,Upcoming / Status Unknown,https://www.cricbuzz.com/live-cricket-scores/158115/civ-vs-rwa-4th-match-icc-mens-t20-world-cup-sub-regional-africa-qualifier-group-a-2026
Unknown Date,Botswana vs Mali 5th Match,Upcoming / Status Unknown,https://www.cricbuzz.com/live-cricket-scores/158126/bw-vs-mali-5th-match-icc-mens-t20-world-cup-sub-regional-africa-qualifier-group-a-2026
Unknown Date,Cameroon vs Sierra Leone 6th Match,Upcoming / Status Unknown,https://www.cricbuzz.com/live-cricket-scores/158137/cam-vs-sle-6th-match-icc-mens-t20-world-cup-sub-regional-africa-qualifier-group-a-2026
Unknown Date,Croatia vs Cyprus 19th Match,Upcoming / Status Unknown,https://www.cricbuzz.com/live-cricket-scores/154997/crt-vs-cyp-19th-match-icc-mens-t20-world-cup-europe-sub-regional-qualifier-a-2026
Unknown Date,Slovenia vs Malta 20th Match,Upcoming / Status Unknown,https://www.cricbuzz.com/live-cricket-scores/155008/slv-vs-malta-20th-match-icc-mens-t20-world-cup-europe-sub-regional-qualifier-a-2026
Unknown Date,France vs Sweden 3rd Place Play-off,Upcoming / Status Unknown,https://www.cricbuzz.com/live-cricket-scores/155019/fra-vs-swe-3rd-place-play-off-icc-mens-t20-world-cup-europe-sub-regional-qualifier-a-2026
Unknown Date,Malta vs Switzerland 7th Place Play-off,Upcoming / Status Unknown,https://www.cricbuzz.com/live-cricket-scores/155030/malta-vs-sui-7th-place-play-off-icc-mens-t20-world-cup-europe-sub-regional-qualifier-a-2026
Unknown Date,Croatia vs Austria 5th Place Play-off,Upcoming / Status Unknown,https://www.cricbuzz.com/live-cricket-scores/155041/crt-vs-aut-5th-place-play-off-icc-mens-t20-world-cup-europe-sub-regional-qualifier-a-2026
Unknown Date,Guernsey vs Jersey Final,Upcoming / Status Unknown,https://www.cricbuzz.com/live-cricket-scores/155052/ggy-vs-jer-final-icc-mens-t20-world-cup-europe-sub-regional-qualifier-a-2026
Unknown Date,Sunrisers Hyderabad vs Royal Challengers Bengaluru 67th Match,Upcoming / Status Unknown,https://www.cricbuzz.com/live-cricket-scores/152240/srh-vs-rcb-67th-match-ipl-2026
Unknown Date,Lucknow Super Giants vs Punjab Kings LIVE68th Match,Upcoming / Status Unknown,https://www.cricbuzz.com/live-cricket-scores/152241/lsg-vs-pbks-68th-match-ipl-2026
Unknown Date,Mumbai Indians vs Rajasthan Royals 69th Match,Upcoming / Status Unknown,https://www.cricbuzz.com/live-cricket-scores/152252/mi-vs-rr-69th-match-ipl-2026
Unknown Date,Kolkata Knight Riders vs Delhi Capitals 70th Match,Upcoming / Status Unknown,https://www.cricbuzz.com/live-cricket-scores/152263/kkr-vs-dc-70th-match-ipl-2026
Unknown Date,Kent vs Middlesex 3rd Match,Upcoming / Status Unknown,https://www.cricbuzz.com/live-cricket-scores/145718/kent-vs-mdx-3rd-match-t20-blast-2026
Unknown Date,Durham vs Derbyshire 4th Match,Upcoming / Status Unknown,https://www.cricbuzz.com/live-cricket-scores/145729/dur-vs-derby-4th-match-t20-blast-2026
Unknown Date,Worcestershire vs Leicestershire 9th Match,Upcoming / Status Unknown,https://www.cricbuzz.com/live-cricket-scores/145740/worcs-vs-leic-9th-match-t20-blast-2026
Unknown Date,Northamptonshire vs Glamorgan 6th Match,Upcoming / Status Unknown,https://www.cricbuzz.com/live-cricket-scores/145762/nhnts-vs-glam-6th-match-t20-blast-2026
Unknown Date,Nottinghamshire vs Yorkshire 8th Match,Upcoming / Status Unknown,https://www.cricbuzz.com/live-cricket-scores/145795/notts-vs-yorks-8th-match-t20-blast-2026
Unknown Date,Hampshire vs Somerset 5th Match,Upcoming / Status Unknown,https://www.cricbuzz.com/live-cricket-scores/145806/ham-vs-som-5th-match-t20-blast-2026
Unknown Date,Surrey vs Lancashire 2nd Match,Upcoming / Status Unknown,https://www.cricbuzz.com/live-cricket-scores/145816/sur-vs-lancs-2nd-match-t20-blast-2026
Unknown Date,Essex vs Sussex 1st Match,Upcoming / Status Unknown,https://www.cricbuzz.com/live-cricket-scores/145827/ess-vs-sus-1st-match-t20-blast-2026
Unknown Date,Gloucestershire vs Warwickshire 7th Match,Upcoming / Status Unknown,https://www.cricbuzz.com/live-cricket-scores/145838/gloucs-vs-warks-7th-match-t20-blast-2026
Unknown Date,Glamorgan vs Gloucestershire 10th Match,Upcoming / Status Unknown,https://www.cricbuzz.com/live-cricket-scores/145860/glam-vs-gloucs-10th-match-t20-blast-2026
Unknown Date,Middlesex vs Surrey 11th Match,Upcoming / Status Unknown,https://www.cricbuzz.com/live-cricket-scores/145916/mdx-vs-sur-11th-match-t20-blast-2026
Unknown Date,Worcestershire vs Northamptonshire 12th Match,Upcoming / Status Unknown,https://www.cricbuzz.com/live-cricket-scores/145927/worcs-vs-nhnts-12th-match-t20-blast-2026
